No.	確定	都道府県	市区郡	場所・スポット	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	年	月	日	ジャンル	ジャンルフリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	項目順	県順	市順	域順
385		神奈川県	川崎市	藤子・F・不二雄作品の銅像⑥ チンプイ＆ワンダユウ	211-0052	神奈川県川崎市中原区等々力1-1	等々力陸上競技場メインスタンド	35.586545	139.651661					モニュメント	モニュメント					カワサキシ	モ	10	14	2	2
386		神奈川県	川崎市	藤子・F・不二雄作品の銅像⑦ ゴンスケ＆モンガー	211-0052	神奈川県川崎市中原区等々力1-1	等々力陸上競技場メインスタンド	35.585209	139.651710					モニュメント	モニュメント					カワサキシ	モ	10	14	2	2
387		神奈川県	川崎市	藤子・F・不二雄作品の銅像⑧ ポコニャン	211-0052	神奈川県川崎市中原区等々力1-1	等々力陸上競技場メインスタンド	35.586039	139.651588					モニュメント	モニュメント					カワサキシ	モ	10	14	2	2
388	完了	神奈川県	横浜市	横浜アンパンマンこどもミュージアム＆モール	220-0012	神奈川県横浜市西区みなとみらい4-3-1		35.458546	139.625467					ミュージアム	ミュージアム	『アンパンマン』をテーマとした参加型ミュージアムとショッピングモールの複合施設。<br />アニメやステージが楽しめる「やなせたかし劇場」、人形劇やビデオ上映、工作教室、作品世界を再現したジオラマコーナー、ミュージアムショップなどがある有料のミュージアムエリアと、『アンパンマン』をテーマにしたグッズショップや飲食店、ヘアサロン、写真館などがある入場無料のショッピングモールエリアに分かれています。	http://www.yokohama-anpanman.jp/			ヨコハマシ	ミ	8	14	1	2
389	完了	神奈川県	横浜市	GUNDAM FACTORY YOKOHAMA	231-0023	神奈川県横浜市中区山下町279-25		35.447621	139.654696		2020	12	19	その他	ソノタ	「機動戦士ガンダム40周年プロジェクト」の一環として、2014年から6年の歳月をかけて開発した18mの動く実物大ガンダムを格納し、メンテナンスワークを行うデッキ「GUNDAM-DOCK」と、動くガンダムの仕組みを学べる展示施設「GUNDAM-LAB」の2つのエリアで構成された施設。<br />2020年12月19日から2022年3月31日までの期間限定公開。	https://gundam-factory.net/			ヨコハマシ	ソ	29	14	1	2
390	完了	神奈川県	大和市	ドカベン（山田太郎・里中智）銅像	242-0022	神奈川県大和市柳橋4-5000-1	大和スタジアム	35.455650	139.461264		1996			モニュメント	モニュメント	『ドカベン』の舞台が神奈川であり、高校野球の神奈川大会で使用球場となっていることから（実際に作中で舞台となっていたのは保土ケ谷球場）、1996年の球場改修時に球場正面に設置された『ドカベン』の山田太郎と里中智の銅像。				ヤマトシ	モ	10	14	5	2
391	完了	神奈川県	小田原市	ガンダムマンホール	250-0011	神奈川県小田原市栄町2-9		35.254101	139.158669		2021	8	1	マンホール	マンホール	富野由悠季監督の出身地が小田原市である縁で、バンダイナムコグループから小田原市に寄贈された全2種のオリジナルデザインのマンホール蓋。<br />2021年8月1日設置。				オダワラシ	マ	9	14	24	2
392	完了	神奈川県	小田原市	シャア専用ズゴックマンホール	250-0021	神奈川県小田原市早川1-21		35.238838	139.147775		2021	8	1	マンホール	マンホール	富野由悠季監督の出身地が小田原市である縁で、バンダイナムコグループから小田原市に寄贈された全2種のオリジナルデザインのマンホール蓋。<br />2021年8月1日設置。				オダワラシ	マ	9	14	24	2
393		新潟県	小千谷市	ポケふた　コイキング&ヒンバス	947-0028	新潟県小千谷市城内1-8-22	錦鯉の里	37.311032	138.795646					マンホール	マンホール					オヂヤシ	マ	9	15	7	4
394		新潟県	小千谷市	ポケふた　コイキング&ピジョン	947-0035	新潟県小千谷市​大字桜町4915	小千谷市総合体育館	37.314302	138.783458					マンホール	マンホール					オヂヤシ	マ	9	15	7	4
395		新潟県	小千谷市	ポケふた　コイキング	947-0028	新潟県小千谷市城内2-7-5	小千谷市役所	37.314223	138.794811					マンホール	マンホール					オヂヤシ	マ	9	15	7	4
396		新潟県	小千谷市	ポケふた　コイキング（色違い）	947-0004	新潟県小千谷市東栄1-1		37.310105	138.812616					マンホール	マンホール					オヂヤシ	マ	9	15	7	4
397	完了	新潟県	新潟市	新潟市マンガ・アニメ情報館	950-0909	新潟県新潟市中央区八千代2-5-7		37.916300	139.053095		2013	5	2	その他	ソノタ	新潟のマンガ・アニメ文化を次世代に継承・発展・発信を目的に2013年5月2日に開設した施設。<br />新潟ゆかりのマンガ家・アニメクリエーターの紹介から、アニメの制作工程の紹介映像、アフレコ体験コーナーなどがあります。	http://museum.nmam.jp			ニイガタシ	ソ	29	15	18	4
